,zone,CA,total,white,black,asian,hispanic
56,56,285.0,13591.0,14.987859612979177,0.35317489515120304,6.511662129350306,77.84563313957766
57,57,580.0,43197.0,7.697293793550478,1.097298423501632,9.908095469592796,80.53800032409659
58,58,295.0,15558.0,14.513433603290911,1.4526288726057335,28.403393752410334,54.58927882761281
59,59,600.0,34427.0,34.348040781944405,2.419612513434223,39.0420309640689,22.83963168443373
60,60,1037.0,35892.0,12.434525799621085,22.297447899253314,2.371001894572607,61.902373788030765
61,61,248.0,18022.0,14.854067251137499,0.7324381311730107,3.351459327488625,80.92331594717568
62,62,504.0,32904.0,3.7563822027716993,4.233527838560661,0.7141988815949429,91.1591295891077
63,63,448.0,25507.0,36.67620653154036,1.9837691614066726,0.5998353393186184,59.92472654565414
64,64,390.0,32398.0,12.331008086918946,2.3643434779924686,0.6018890054941664,84.24902771776036
65,65,726.0,51169.0,2.2025054232054564,39.09593699310129,0.23647130098301705,56.44237722058277
66,66,1273.0,26282.0,1.2594170915455445,84.2135301727418,0.16741496080967963,12.358268016132715
67,67,748.0,21054.0,1.3726607770494919,91.38880972736773,0.6839555428897122,4.360216585921915
68,68,828.0,29309.0,1.0065167695929578,94.70469821556519,0.18765566890716162,2.2518680268859397
69,69,560.0,44215.0,8.354630781409025,43.080402578310526,0.8096799728598891,46.32590749745562
70,70,1065.0,48039.0,0.8451466516788443,94.21719852619746,0.24147047190824122,3.5658527446449764
71,71,504.0,19919.0,55.29896079120438,32.38616396405442,1.3454490687283498,7.244339575279883
72,72,584.0,26676.0,1.4469935522567101,96.14260008996851,0.11995801469485678,0.9784075573549258
73,73,296.0,19477.0,82.58458694870873,2.438773938491554,1.6891718437130974,9.88858653796786
74,74,525.0,27943.0,33.53612711591454,55.097877822710515,0.5654367820205418,7.937587231149125
75,75,456.0,21905.0,63.670394887012094,4.186258845012554,12.453777676329606,16.95959826523625
76,76,1309.0,58084.0,54.269678396804636,12.609324426692375,12.686798429860202,16.014737277047036
